sentences1,sentences2,Label
"Evite o excesso de açúcar, cereais refinados, alimentos gordurosos,frituras,
alimentos industrializados e bebidas alcoólicas.","Evite açúcar excessivo, grãos refinados, alimentos ricos em gordura, alimentos fritos, Alimentos processados ​​e bebidas alcoólicas.",0.9
Prática de exercício físico no puerpério. Pergunte ao seu médico quando poderá iniciar a prática de exercício físico após o nascimento do bebê.Comece devagar.,Exercício físico durante o puerpério. Pergunte ao seu médico quando você pode começar a se exercitar depois que o bebê nascer. Comece devagar.,0.9
Você poderá realizar todos os exercícios orientados pras gestantes (Guia prático de exercícios).,Poderá realizar todos os exercícios para grávidas (guia prático de exercícios).,0.9
"Caminhadas, alongamentos,fortalecimentos e exercícios perineais.Beba bastante líquido durante o treino de exercício, pois a falta de hidrataçãopode prejudicar a produção deleite materno.","Caminhadas, exercícios de alongamento, fortalecimento e exercícios perineais devem beber bastante água nos treinos esportivos, pois a falta d'água prejudica o prazer da gestante.",0.9
"Gravidez é o melhor período para você adquirir hábitos saudáveis e levá los
para sua vida toda!",Gravidez é Você desenvolverá hábitos saudáveis tempo de vida!,0.9
"O equilíbrio entre carboidratos, proteínas, gorduras, vitaminas, minerais e água é essencial para o desenvolvimento de um bebê saudável.Na falta desses nutrientes, o bebê pode nascer com baixo peso. Por outro lado, quando ocorre ingestão de calorias em excesso, a mãe ganha peso além do aconselhável e podem ocorrer complicações.","Carboidratos, proteínas, gorduras, vitaminas, Minerais e água são essenciais para o crescimento do bebê.
Sem esses nutrientes, os bebês terão um peso muito leve ao nascer. Por outro lado, quando muitas calorias são consumidas e o ganho de peso está além da faixa recomendada e podem ocorrer complicações.",0.9
"Fazem parte deste grupo: feijão,
Prefira as versões soja, lentilha, ervilha e grão de bico.","Fazem parte desta categoria: feijão, O melhor é escolher soja, lentilha, ervilha e grão de bico.",0.9
"A mistura de arroz com feijão é
e massas.",A mistura de arroz e feijão e macarrão.,0.9
"Recomenda se o consumo da fruta inteira em substituição ao suco, pois muitos nutrientes podem ser perdidos no preparo de sucos naturais.Quanto mais variedade melhor.","É recomendável comer frutas inteiras em vez de suco, porque muitos nutrientes são perdidos no preparo do suco natural. Quanto mais variedade, melhor.",0.9
"Excelentes fontes de várias do frango, não utilizar vitaminas, minerais e fibra e por isso preparações fritas.","Uma excelente fonte de todos os tipos de frango, sem vitaminas, minerais e fibras são usados, portanto, não são usados ​​produtos fritos.",0.9
"Sim, desde que você esteja realizando o pré natal e não apresente nenhuma
complicação na gravidez.","Sim, desde que você esteja fazendo check up pré natal e não haja complicações durante a gravidez.",0.9
"Se você tem dúvidas, na próxima consulta pergunte ao seu médico se você está liberada para realizar exercícios.","Se você tiver alguma dúvida, consulte o seu médico na próxima consulta se você pode se exercitar livremente.",0.9
"A prática de exercício físico leve ou moderado durante a gravidez é segura tanto para
a mãe quanto para o bebê.",Exercícios leves ou moderados durante a gravidez são seguros para a mãe e o bebê.,0.9
"Se você já praticava exercício antes de engravidar e sua gestação está saudável, você pode continuar a fazer os exercícios, mas talvez precise fazer algumas adaptações,
comodiminuir o ritmo e/ou mudar alguns exercícios.","Se você fez exercícios antes da gravidez e está saudável, pode continuar a praticar exercícios, mas pode ser necessário fazer alguns ajustes, como desacelerar e / ou alterar alguns exercícios.",0.9
"Se você não praticava exercício, você pode começar a fazê lo durante a gravidez;
nesse caso, é melhor começar depois do 3º mês (12 semanas) de gestação.","Se você não se exercita, pode começar a se exercitar durante a gravidez; Nesse caso, é melhor começar após o terceiro mês (12 semanas) de gravidez.",0.9
Comece aos poucos e aumente a duração dos exercícios gradualmente.,Comece pequeno e aumente gradualmente o tempo de prática.,0.9
"Você deve realizar tanto exercícios aeróbicos como: caminhada, hidroginástica, natação,
bicicleta estacionária ou dança, quanto exercícios de alongamento muscular e ginástica
localizada, Yoga ou Pilates. Que tipo de exercício NÃO posso fazer?","Deve se fazer exercício aeróbio concomitantemente, como: caminhada, hidroginástica, natação, bicicleta ergométrica ou dança, além de exercícios de alongamento muscular e ginástica parcial, ioga ou pilates Que tipo de esporte eu não posso praticar?",0.9
"Evite exercícios que tenham risco de queda, bater a barriga ou muito contato físico, como
por exemplo, esportes com bola, saltos, lutas marciais, ciclismo, equitação.","Evite esportes que envolvam quedas, choques no abdômen ou contato físico excessivo, como jogos com bola, saltos, artes marciais, ciclismo, passeios a cavalo.",0.9
Perceba se você consegue conversar enquanto caminha ou pratica outro tipo de exercício.,Veja se consegue falar enquanto caminha ou pratica outro exercício.,0.9
"Você deve sentir o bebê mexer todos os dias, principalmente após as refeições."," Você deve sentir seu bebê se mexendo todos os dias, especialmente após as refeições. ",0.9
"Evite realizar exercícios, por muito tempo, deitada de barriga para cima partir do 4º mês de
gestação.","A partir do quarto mês de gravidez, não faça exercícios de costas por muito tempo.",0.9
"Interrompa os exercícios se sentir algum dos sintomas abaixo:
  Sangramento vaginal   Redução dos movimentos fetais
  Dor no abdome ou no peito   Dor ou sensação de ardência ao urinar
  Perda delíquido pela vagina   Febre
  Inchaço repentino nas mãos,face ou pés   Náuseas ou vômitos persistentes
  Dor de cabeça forte e persistente   Contraçõesuterinas frequentes
  Palpitações   Sensação de falta de ar
  Tontura ou sensação de luzes piscando
Em caso de dúvidas, procure seu médico!"," Se você sentir algum dos seguintes sintomas, pare de se exercitar:   Movimento fetal reduzido por sangramento vaginal   Dor no abdômen ou no peito   Dor ou sensação de queimação ao urinar   Perda de fluido pela vagina   febre   Inchaço repentino das mãos, rosto ou pés   Náuseas ou vômitos constantes   Contrações uterinas frequentes com cefaleia severa e persistente  Heart Pal  Sensação de falta de ar   Tontura ou sensação de lampejo Em caso de dúvida, consulte um médico!  ",0.9
"  Recomendações nutricionais:
Manter a dieta equilibrada é fundamental para a manutenção de um bom
estado nutricional, para o retorno do peso corporal, bom funcionamento
intestinal e uma adequada produção deleite.","Conselhos sobre nutrição: Manter uma dieta equilibrada é essencial para manter uma boa dieta Estado nutricional, recuperação de peso, boa função Intestinos e bastante alegria são produzidos.",0.9
" Beba líquidos em abundância, principalmente leite, suco de frutas e água, pois a amamentação dá muita sede. ","Como a amamentação dá muita sede, beba muito líquido, principalmente leite, suco e água”.",0.9
"Caminhadas, alongamentos,fortalecimentos e exercícios perineais. Beba bastante líquido durante o treino de exercício, pois a falta de hidratação pode prejudicar a produção deleite materno.","Caminhe, alongue, fortaleça e exercite o períneo. Beba bastante água durante o treinamento físico, pois a falta de água pode prejudicar o prazer materno.",0.9
Gravidez é o melhor período para você adquirir hábitos saudáveis e levá los para sua vida toda!,A gravidez é a melhor época para você desenvolver hábitos saudáveis ​​e levá los ao próximo nível!,0.9
"O equilíbrio entre carboidratos, proteínas, gorduras, vitaminas, minerais e água é essencial para o desenvolvimento de um bebê saudável.Na falta desses nutrientes, o bebê pode nascer com baixo peso. Por outro lado, quando ocorre ingestão de calorias em excesso, a mãe ganha peso além do aconselhável e podem ocorrer complicações.","O equilíbrio entre carboidratos, proteínas, gorduras, vitaminas, minerais e água é fundamental para o crescimento de bebês saudáveis, pois sem esses nutrientes os bebês nascerão com muito baixo peso.  Por outro lado, quando muitas calorias são consumidas, o peso da mãe ultrapassa o nível recomendado e pode causar complicações. ",0.9
"Já no início da gravidez é frequente a sensação de falta de ar, explicada pela ocorrência de discreta hiperventilação, com elevação do volume minuto, 
que progride até o termo (chegando a aumentar até 50% em relação aos níveis basais)."," No início da gravidez, a falta de Ar, causado por leve hiperventilação e pequeno aumento de volume, Até o semestre (atingindo 50% do nível de referência).  ",0.9
"Na fase catabólica, o metabolismo glicêmico visa suprir o feto com glicose e 
aminoácidos, enquanto utiliza ácidos graxos livres e cetonas como substrato materno."," Na fase catabólica, o metabolismo da glicose no sangue visa fornecer ao feto glicose e Aminoácidos, ácidos graxos livres e cetonas são usados ​​como substrato original.  ",0.9
"Mudanças nos hábitos alimentares são comuns e podem constituir uma mudança real no paladar. As pessoas anseiam por terra, sabão, carvão, etc.","Mudanças nos hábitos alimentares são comuns e podem constituir uma mudança real no paladar. As pessoas anseiam por terra, sabão, carvão, etc.",0.9
" A gengiva é a principal afetada, enquanto os dentes, a língua e as glândulas salivares são poupados. ","As gengivas são afetadas principalmente, enquanto os dentes, a língua e as glândulas salivares são poupados.",0.9
" O aumento e engurgitamento da papila interdigital da gengiva podem causar sangramento gengival, úlceras e dor. ","O aumento e congestão do mamilo interdigital gengival pode causar sangramento, úlceras e dor nas gengivas.",0.9
"As mamas sofrem profundas transformações durante o ciclo gravídico puerperal, e, ao contrário dos outros órgãos, não volta ao estado pré gravídico ao final do puerpério, pois é somente nessa época da vida da mulher que esse órgão atinge seu completo desenvolvimento.","Durante a gravidez puerpério, os seios passarão por profundas mudanças, e Ao contrário de outros órgãos, ele não retornará ao estado anterior à gravidez no final do puerpério, porque esse órgão só pode se desenvolver totalmente durante a vida da mulher.",0.9
"Já nos primeiros estágios da gravidez, sofrendo de dores nas mamas e / ou Sensibilidade mamária: a partir da sexta semana, o aumento nos números exacerbou essas queixas.","Já nos primeiros estágios da gravidez, sofrendo de dores nas mamas e / ou Sensibilidade mamária: a partir da sexta semana, o aumento nos números exacerbou essas queixas.",0.9
"Sempre é bom lembrar que as estratégias no pré natal devem assimilar como rotineiros os procedimentos confirmadamente benéficos, evitando intervenções desnecessárias.","Lembre se sempre de que a estratégia pré natal deve incorporar procedimentos de rotina à rotina Obviamente é benéfico, evitando intervenções desnecessárias.",0.9
"Na consulta de caso novo, o exame é detalhado na tentativa de diagnosticar o maior número possível de alterações que possam afetar o prognóstico materno e gestacional.","Ao consultar um novo caso, o exame é Ele explica em detalhes como diagnosticar o máximo de alterações possíveis que podem afetar o prognóstico da mãe e da gravidez.  ",0.9
"No que se refere às adolescentes, observa se maior frequência de uso de drogas lícitas e ilícitas, maiores taxas de processos hipertensivos e de prematuridade, além de menor adesão ao pré natal.","No que diz respeito aos jovens, as drogas lícitas e ilegais são utilizadas com mais frequência, A incidência de processos hipertensivos e partos prematuros, bem como a redução da adesão ao pré natal.",0.9
"Certas doenças apresentam maior incidência em mulheres negras (a exemplo da pré eclâmpsia e da anemia falciforme) e 
amarelas (a exemplo da degeneração trofoblástica).","Certas doenças têm uma incidência maior em mulheres negras (como pré eclâmpsia e anemia falciforme), e Amarelo (como degeneração trofoblasto).",0.9
"Idade fértil: Uma boa parcela da população total de um território de saúde é de mulheres em idade fértil, definida como a faixa etária de 10 a 49 anos.",Idade fértil: As mulheres em idade fértil constituem uma grande parte da população total em zonas saudáveis. As mulheres em idade fértil referem se à faixa etária dos 10 aos 49 anos.,0.9
"Suspeita e confirmação da gravidez
O sintoma mais comumente identificado para a suspeição de gravidez é o atraso menstrual.Outros sintomas e sinais comuns ou específicos podem compor o quadro, possibilitando a confirmação da gestação.","Suspeita e confirmação de gravidez O sintoma mais comum de suspeita de gravidez é o atraso na menstruação. Outros sinais e sintomas comuns ou específicos podem compensar esse fenômeno, possibilitando a confirmação da gravidez.",0.9
"
Sintomas que podem surgir em várias outras situações, sendo pouco específicos para utilizar como diagnóstico 
de presunção de gravidez: náuseas e vômitos, sialorreia, alterações do apetite, aversão a certos odores que provocam náuseas e vômitos, lipotimia e tonteiras, polaciúria, nictúria, sonolência e alterações psíquicas variáveis na dependência.de a gestação ser desejada ou não . 
 ● Melasma facial, linha nigra, aumento do volume abdominal
 ● São sintomas e sinais mais evidentes de gravidez, no entanto, sem caracterizá la com certeza.      ● O sintoma mais importante é o atraso menstrual
● Entre os sinais: aumento do volume uterino, alterações da forma em que o útero se torna globoso (sinal de Noblé Budin), diminuição da consistência do istmo (sinal de Hegar) e diminuição da consistência do colo (sinal de Goodel), aumento da vascularização da vagina, do colo e vestíbulo vulvar (sinal de Jacquemier Kluge) e sinal de Hunter (aréola mamária secundária).   ","Sintomas que podem ocorrer em várias outras situações, não especificamente para diagnóstico Especulações de gravidez: náuseas e vômitos, diarréia, alterações do apetite, aversão a certos cheiros que causam náuseas e vômitos, deficiência de gordura e tontura, poliúria, urinar, letargia e alterações psicológicas, dependendo da necessidade de gravidez. ● Cloasma facial, linhas escuras, abdômen aumentado ● No entanto, são sinais e sintomas de gravidez mais óbvios, mas suas características não podem ser determinadas. ● O sintoma mais importante é o atraso na menstruação ● Os sinais incluem: aumento do volume uterino, formato esférico do útero (sinal de Nobel Pudding), diminuição da viscosidade do istmo (sinal de Hegar) e diminuição da viscosidade cervical (sinal de Goodel), vagina, colo do útero e A formação de vasos sanguíneos no vestíbulo da vulva (sinal de Jacquemil Kruger) e no sinal de Hunter (aréola secundária) é aumentada.",0.9
"Sinais de certeza de gravidez : diagnóstico laboratorial: é realizado pela identificação do hormônio coriogonadotrófico (hCG) na urina ou no 
sangue, um indicativo de gravidez
● Ausculta fetal: a presença de batimentos cardíacos fetais no abdome somente está presente na vigência de 
gestação; detectados por sonar (entre 10 12 semanas). ● Palpação de partes fetais no abdome materno é também exclusivo da gestação."," Certos sinais de gravidez: diagnóstico laboratorial: identificando a urina ou gonadotrofina coriônica (hCG) na urina Sangue, indicando gravidez ● Ausculta fetal: um batimento cardíaco fetal no abdômen ocorre apenas nas seguintes condições: Gravidez; testado por sonar (entre 10 12 semanas). ● É a única coisa que a mãe toca no abdômen do feto durante a gravidez.  ",0.9
"
Fatores de risco gestacional: 
Os fatores de risco são condições ou aspectos biológicos, psicológicos ou sociais associados estatisticamente a maiores 
probabilidades futuras de morbidade ou mortalidade.","Fatores de risco para gravidez: Os fatores de risco são condições biológicas, psicológicas ou sociais, ou aspectos que estão estatisticamente relacionados a uma maior probabilidade de morbidade ou mortalidade no futuro.",0.9
"Podem ser agrupados de acordo com as características individuais da mulher, seus comportamentos e estilos de vida, a influência das redes sociais e comunitárias, as condições de vida e trabalho e a possibilidade de acesso a serviços, relacionando se com o ambiente mais amplo de natureza econômica, cultural e econômic.","As mulheres podem ser agrupadas de acordo com suas características pessoais, seu comportamento e estilo de vida, a influência das redes sociais e comunitárias, condições de vida e de trabalho e acesso a serviços (relacionados ao ambiente mais amplo das mulheres). Caráter econômico, cultural e econômico",0.9
"
A vigilância dos fatores de risco gestacional deve ser contínua, e sua identificação deve disparar medidas 
preventivas, assim como a estratificação de risco gestacional aqui apresentada. Por outro lado, também devem ser identificados os fatores protetores, que dizem respeito a influências que modificam, alteram ou melhoram as respostas das pessoas a perigos que predispõem a resultados não adaptativos”. ","A vigilância dos fatores de risco da gravidez deve ser contínua, e sua identificação deve desencadear medidas Por outro lado, os fatores de proteção também devem ser determinados, influências relacionadas à mudança, mudança ou melhoria da resposta das pessoas aos riscos de resultados facilmente adaptáveis.",0.9
"Podem ser fatores protetores pessoais, como a capacidade de autocuidado ou estilos e comportamentos de vida saudáveis; familiares, como vínculos afetivos fortes e estáveis; e sociais, como o apoio comunitário próximo ou participação em grupos de várias naturezas.","Eles podem ser fatores de proteção pessoal, como capacidade de autocuidado ou estilo de vida e comportamento Saúde, família, como vínculo emocional forte e estável, e sociabilidade, como apoio comunitário próximo ou participação em vários grupos.",0.9
"A urgência na gestação:
As ocorrências de morte materna, fetal e infantil estão, em grande parte, relacionadas a complicações das 
morbidades preexistentes ou identificadas durante a gestação.","A urgência da gravidez: A ocorrência de óbitos maternos, fetais e infantis está amplamente relacionada a complicações. Doenças pré existentes ou estabelecidas durante a gravidez.  ",0.9
"8 PASSOS para o Pré Natal de Qualidade
Iniciar o pré natal na Atenção Primária à Saúde até a 12ª semana de gestação (captação precoce) Garantir os recursos humanos, físicos, materiais e técnicos necessários à atenção pré natal Toda gestante deve ter asseguradas a solicitação, a realização e a avaliação em termo oportuno do resultado dos exames preconizados no atendimento pré natal Promover a escuta ativa da gestante e de seus acompanhantes, considerando aspectos intelectuais, emocionais, sociais e culturais, e não somente um cuidado biológico: rodas de gestantes”. Garantir o transporte público gratuito da gestante para o atendimento pré natal, quando necessário É direito do parceiro ser cuidado (realização de consultas, exames e ter acesso a informações) antes, durante e depois da gestação: pré natal do parceiro” Garantir o acesso à unidade de referência especializada, caso seja necessário","8 etapas do pré natal de qualidade Iniciar o pré natal na atenção primária até a 12ª semana de gravidez (início precoce) Garantir os recursos humanos, materiais, materiais e técnicos necessários ao pré natal” Toda mulher grávida deve garantir os requisitos de exame recomendados, desempenho e avaliação oportuna No pré natal Considerando fatores de conhecimento, emocionais, sociais e culturais, promover a escuta ativa da gestante e seus acompanhantes, e Mais do que cuidados biológicos: Roda para gestantes”. Garantir transporte público gratuito para gestantes para exames pré natais quando necessário” Antes, durante e depois da gravidez, o parceiro tem direito a ser cuidado (direito a consultar, consultar e obter informações): Parceiro pré natal Se necessário, certifique se de visitar uma unidade de referência dedicada",0.9
"A abordagem pré concepcional 
O aconselhamento pré concepcional é parte integrante dos cuidados pré natais e tem por objetivo conhecer 
precocemente as expectativas em relação à gravidez, o momento que a família está vivenciando e a sua história 
de vida, além de identificar fatores de risco ou doenças que possam interferir no prognóstico da futura gestação.Deve ser realizada com o casal, preferencialmente antes da suspensão da anticoncepção.","A abordagem preconcebida O aconselhamento pré gravidez é parte integrante do cuidado pré natal para compreender Expectativas iniciais da gravidez, momentos e história da experiência familiar Além de determinar os fatores de risco ou doenças que podem afetar o prognóstico da gravidez futura, o impacto na vida também deve ser feito com o casal, preferencialmente antes de interromper a contracepção.",0.9
"
Captação e confirmação da gestação:
A captação da gestante para o acompanhamento deve ser precoce – dentro do primeiro trimestre da gestação –, possibilitando a identificação de eventuais fatores de risco e instituindo os cuidados do pré natal. Para isso, a equipe deve ser proativa junto à população da sua área de abrangência, mantendo seu cadastro atualizado, o que inclui as mulheres em idade fértil residentes no território de abrangência, estabelecendo forte vinculação com as famílias e indivíduos, e acompanhando as rotineiramente, de modo a identificar rapidamente as mulheres com suspeita de gravidez. ","Registre e confirme a gravidez: As gestantes devem ser absorvidas o mais precocemente possível, no primeiro trimestre de gestação, para acompanhamento, para que possíveis fatores de risco sejam identificados e exames pré natais possam ser realizados. Para este fim, a equipe de pesquisa deve responder ativamente às necessidades das mulheres grávidas. Cobertura, manter atualizações de registro, incluindo mulheres em idade fértil que moram na área de cobertura, estabelecer conexões fortes com famílias e indivíduos e fazer um acompanhamento rápido com eles regularmente Identifique mulheres com suspeita de gravidez",0.9
"Situações de maior vulnerabilidade requerem proatividade ainda maior e a colaboração de instituições e lideranças locais: adolescentes, população moradora em áreas de baixa renda, comunidades rurais ou ribeirinhas de difícil acesso, população em situação de rua, população indígena e quilombola, dentre outras.","Situações de maior vulnerabilidade requerem proatividade ainda maior e a colaboração de instituições e lideranças locais: adolescentes, população moradora em áreas de baixa renda, comunidades rurais ou ribeirinhas de difícil acesso, população em situação de rua, população indígena e quilombola, dentre outras.",0.9
"A palpação abdominal é muito importante em toda mulher que procura atendimento com amenorreia ou suspeita de gravidez; 
muitas vezes, a equipe pode se deparar com uma gestação de segundo ou terceiro trimestres, situação em que 
um exame físico atento pode servir para fazer o diagnóstico e iniciar os cuidados.","A palpação abdominal é importante para todas as mulheres que procuram atendimento devido a amenorréia ou suspeita de gravidez; Normalmente, a equipe pode enfrentar o segundo ou segundo trimestre, neste caso Um exame físico cuidadoso ajuda a fazer um diagnóstico e iniciar os cuidados.",0.9
"Ações imediatas após a confirmação da gestação
● Orientar as mulheres e suas famílias sobre a importância do pré natal, da amamentação e da vacinação
● Verificar/realizar o cadastramento das gestantes no e SUS
● Identificar situações de vulnerabilidade socioeconômica e familiar
● Identificar a expectativa e a aceitação da gravidez por parte da mulher e seu companheiro
Nas situações em que o diagnóstico de gravidez for descartado, deve ser feita a avaliação da mulher acerca de suas queixas de atraso menstrual ou outras queixas, com as devidas condutas e orientações.","Ação imediatamente após a confirmação da gravidez ● Orientar mulheres e seus familiares sobre a importância do pré natal, amamentação e vacinação ● Verificar / executar cadastro da gestante no e SUS ● Determinar a situação de vulnerabilidade socioeconômica e familiar ● Determinar as expectativas das mulheres e seus parceiros e aceitação da gravidez No caso de exclusão do diagnóstico de gravidez, a mulher fica Eles têm queixas de atraso na menstruação ou outras queixas e têm comportamento e orientação adequados.",0.9
"Primeira avaliação:
A primeira avaliação da gestante deve ser integrada e abranger avaliação clínica, exames complementares, identificação e investigação de fatores de risco."," Primeira Avaliação: A primeira avaliação da gestante deve ser integrada, incluindo avaliação clínica, exames complementares, identificação e investigação de fatores de risco.  ",0.9
"Preferencialmente, deve ser organizada com a lógica da atenção 
contínua, sendo realizadas avaliações individuais sequenciais pelo médico, enfermeiro, técnico em enfermagem, 
ACS, dentista e outros profissionais da equipe, seguindo se com a discussão de caso e a elaboração do plano de 
cuidados e autocuidado.","É melhor prestar atenção à lógica ao organizar Avaliação contínua e discriminada por médicos, enfermeiras e técnicos de enfermagem, CHA, dentista e outros especialistas da equipe, discutem o caso e explicam em detalhes Cuidado e autocuidado.",0.9
"É assegurado à gestante o direito de levar um acompanhante de sua escolha nas consultas (companheiro, mãe, 
amiga ou outra pessoa).Sabe se que a presença do pai (companheiro ou parceiro) na primeira consulta traz significativo diferencial qualitativo a esse atendimento.Não havendo possibilidade da presença do parceiro, um familiar também ajuda sobremaneira, dando confiança à gestante, a qual se sente amparada no cenário da consulta pré natal.","Garantir que as gestantes tenham o direito de escolher o parceiro (parceiro, mãe Amigos ou outros). Como todos sabemos, a presença do pai (companheiro ou companheiro) na primeira consulta trouxe um grande diferencial de qualidade para este serviço. Pessoas que se sentem apoiadas na consulta de pré natal.",0.9
"O atendimento deve ser sempre realizado em ambiente que garanta segurança, privacidade e sigilo à gestante e 
parceiro, com escuta aberta e não julgadora, acolhimento das expectativas, conforto e apoio para resolução de 
conflitos.A gestante e sua família devem ser bem esclarecidas sobre sua situação de saúde e o estrato de risco, tendo 
apoio para o planejamento do pré natal.","Os serviços devem ser realizados sempre em ambiente que garanta a segurança, privacidade e sigilo da gestante e do bebê. Parceiros, ouçam abertamente e sem julgamento, aceitem expectativas, conforto e soluções de apoio Mulheres grávidas e suas famílias devem compreender totalmente seu estado de saúde e grau de perigo, Apoie o planejamento pré natal.",0.9
"Acompanhamento longitudinal
Os fatores determinantes da saúde da gestante são inúmeros e de diferentes naturezas, requerendo abordagem 
ampla da situação.","Monitoramento longitudinal Muitos são os fatores que determinam a saúde das mulheres grávidas, e são de natureza diferente, sendo necessária uma ampla gama de métodos para essa situação.",0.9
"O enfermeiro e o médico da equipe devem se alternar nas consultas subsequentes, mas com a atenção para uma gestão integrada do cuidado de cada gestante e do grupo de gestantes.","Enfermeiros e médicos da equipe devem se revezar nas consultas subseqüentes, mas atentando para o gerenciamento integral da enfermagem para cada gestante e grupo de gestantes.",0.9
"A atuação interdisciplinar é favorecida pela discussão de casos, pelo apoio recíproco nas ações de cuidado e pelo planejamento junto das 
intervenções.","Por meio de discussão de casos, apoio mútuo e cooperação nas ações de enfermagem Intervenção.",0.9
"A primeira avaliação deve ser realizada até 1 mês após o início do pré natal, seguindo se com avaliações trimestrais minimamente.","A primeira avaliação deve ser realizada até 1 mês após o início do pré natal e, a seguir, pelo menos trimestralmente.",0.9
Os tratamentos necessários devem ser realizados durante a gestação ou planejados para adequação de meios e tratamento após o parto e o nascimento.,"O tratamento necessário deve ser realizado durante a gravidez, ou os meios e métodos de tratamento devem ser ajustados após o parto e o parto.",0.9
"Deve se ter atenção especial para diagnóstico e tratamento da doença periodontal, morbidade relacionada à prematuridade.",Atenção especial deve ser dada ao diagnóstico e tratamento da doença periodontal e à incidência de parto prematuro.,0.9
